2025-07-16 12:26:28,769 INFO    MainThread:33377 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-07-16 12:26:28,770 INFO    MainThread:33377 [wandb_setup.py:_flush():70] Configure stats pid to 33377
2025-07-16 12:26:28,770 INFO    MainThread:33377 [wandb_setup.py:_flush():70] Loading settings from /Users/xrong8/.config/wandb/settings
2025-07-16 12:26:28,770 INFO    MainThread:33377 [wandb_setup.py:_flush():70] Loading settings from /Users/xrong8/Documents/CXRProject/ConeClustering/wandb/settings
2025-07-16 12:26:28,770 INFO    MainThread:33377 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-07-16 12:26:28,770 INFO    MainThread:33377 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /Users/xrong8/Documents/CXRProject/ConeClustering/wandb/run-20250716_122628-s9rxbifs/logs/debug.log
2025-07-16 12:26:28,770 INFO    MainThread:33377 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /Users/xrong8/Documents/CXRProject/ConeClustering/wandb/run-20250716_122628-s9rxbifs/logs/debug-internal.log
2025-07-16 12:26:28,771 INFO    MainThread:33377 [wandb_init.py:init():852] calling init triggers
2025-07-16 12:26:28,771 INFO    MainThread:33377 [wandb_init.py:init():857] wandb.init called with sweep_config: {'alpha': 1.3602995057390377}
config: {'m': 50, 'r': 5, 'n_k': 100, 'K': 4, 'sigma': 0.0, 'lambda': 1.3602995057390377, 'max_iter': 200, 'random_state': 42, '_wandb': {}}
2025-07-16 12:26:28,771 INFO    MainThread:33377 [wandb_init.py:init():893] starting backend
2025-07-16 12:26:28,771 INFO    MainThread:33377 [wandb_init.py:init():897] sending inform_init request
2025-07-16 12:26:28,810 INFO    MainThread:33377 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-07-16 12:26:28,810 INFO    MainThread:33377 [wandb_init.py:init():907] backend started and connected
2025-07-16 12:26:28,812 INFO    MainThread:33377 [wandb_run.py:_config_callback():1436] config_cb None None {'alpha': 1.3602995057390377}
2025-07-16 12:26:28,813 INFO    MainThread:33377 [wandb_init.py:init():1005] updated telemetry
2025-07-16 12:26:28,832 INFO    MainThread:33377 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-07-16 12:26:29,163 INFO    MainThread:33377 [wandb_init.py:init():1104] starting run threads in backend
2025-07-16 12:26:30,255 INFO    MainThread:33377 [wandb_run.py:_console_start():2573] atexit reg
2025-07-16 12:26:30,255 INFO    MainThread:33377 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-07-16 12:26:30,255 INFO    MainThread:33377 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-07-16 12:26:30,255 INFO    MainThread:33377 [wandb_run.py:_redirect():2513] Redirects installed.
2025-07-16 12:26:30,257 INFO    MainThread:33377 [wandb_init.py:init():1150] run started, returning control to user process
2025-07-16 12:26:45,429 INFO    MsgRouterThr:33377 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 0 handles.
